@RELATION "dataset ONOS"

@ATTRIBUTE Src-Port NUMERIC
@ATTRIBUTE Dst-Port NUMERIC
@ATTRIBUTE Total-Len-Fwd-Pkts NUMERIC
@ATTRIBUTE Total-Len-Bwd-Pkts NUMERIC
@ATTRIBUTE Fwd-Pkt-Len-Min NUMERIC
@ATTRIBUTE Pkt-Len-Mean NUMERIC
@ATTRIBUTE Flow-IAT-Min NUMERIC
@ATTRIBUTE Fwd-IAT-Min NUMERIC
@ATTRIBUTE Bwd-IAT-Mean NUMERIC
@ATTRIBUTE Fwd-PSH-Flags NUMERIC
@ATTRIBUTE PSH-Flag-Cnt NUMERIC
@ATTRIBUTE ACK-Flag-Cnt NUMERIC
@ATTRIBUTE Label {0, 1}

@DATA
35646,80,446,1340,52,178,5,5,17,1,2,9,0
52896,25,342,331,40,61,2,5,2508,1,2,8,0
25,52896,113,40,113,76,0,0,0,1,1,1,0
35770,22,4908,5358,52,218,3,4,451,13,25,46,0
35770,22,4908,5358,52,218,3,4,451,13,25,46,0
35772,22,4840,4318,52,199,9,4,450,13,25,45,0
45564,8180,763,9395,52,461,2,4,9,1,2,21,0
35660,80,446,1340,52,178,4,4,17,1,2,9,0
40466,139,100,60,40,53,15,21,0,0,0,1,0
53866,445,216,164,52,54,4,4,17,0,0,6,0
45580,8180,763,9395,52,461,1,4,9,1,2,21,0
40476,139,100,60,40,53,19,31,0,0,0,1,0
53876,445,216,164,52,54,6,6,17,0,0,6,0
35676,80,446,1340,52,178,5,5,19,1,2,9,0
40482,139,100,60,40,53,16,29,0,0,0,1,0
53882,445,216,164,52,54,7,7,20,0,0,6,0
40490,139,100,60,40,53,15,29,0,0,0,1,0
53890,445,216,164,52,54,7,7,20,0,0,6,0
52942,25,322,384,40,64,1,6,2506,1,3,8,0
35814,22,4892,4318,52,195,1,4,449,13,25,46,0
35814,22,4892,4318,52,195,1,4,449,13,25,46,0
45606,8180,763,9395,52,461,2,4,9,1,2,21,0
40506,139,100,60,40,53,18,30,0,0,0,1,0
53906,445,216,164,52,54,6,7,15,0,0,6,0
35706,80,446,1340,52,178,6,6,23,1,2,9,0
52950,25,322,384,40,64,3,4,2504,1,3,8,0
52952,25,282,384,40,66,1,5,2508,1,3,8,0
52952,25,40,0,40,40,0,0,0,0,0,0,0
35828,22,4908,5358,52,218,2,4,449,13,25,46,0
35828,22,4908,5358,52,218,2,4,449,13,25,46,0
35832,22,4892,4318,52,195,0,4,378,13,25,46,0
35832,22,4892,4318,52,195,0,4,378,13,25,46,0
52966,25,282,271,40,61,9,4,3334,1,2,7,0
25,52966,113,40,113,76,0,0,0,1,1,1,0
35836,22,4908,5358,52,218,3,4,450,13,25,46,0
35836,22,4908,5358,52,218,3,4,450,13,25,46,0
45628,8180,763,9395,52,461,1,4,9,1,2,21,0
45632,8180,763,9395,52,461,1,4,8,1,2,21,0
45634,8180,763,9395,52,461,1,4,8,1,2,21,0
20,33831,665,164,52,103,5,9,15,1,1,7,0
54890,21,811,856,52,64,2,4,14,6,14,25,0
54890,21,811,856,52,64,2,4,14,6,14,25,0
35848,22,4892,4318,52,195,2,4,450,13,25,46,0
35848,22,4892,4318,52,195,2,4,450,13,25,46,0
20,44943,665,164,52,103,5,10,17,1,1,7,0
54894,21,812,856,52,64,1,4,14,6,14,25,0
54894,21,812,856,52,64,1,4,14,6,14,25,0
40538,139,100,60,40,53,18,30,0,0,0,1,0
53938,445,216,164,52,54,7,7,19,0,0,6,0
52990,25,282,271,40,61,12,6,2724,1,2,7,0
25,52990,113,40,113,76,0,0,0,1,1,1,0
35862,22,4908,5358,52,218,1,4,450,13,25,46,0
35862,22,4908,5358,52,218,1,4,450,13,25,46,0
20,46993,665,164,52,103,5,8,15,1,1,7,0
54908,21,760,856,52,64,9,5,16,6,14,24,0
45658,8180,763,9395,52,461,1,4,9,1,2,21,0
20,52869,665,164,52,103,5,8,15,1,1,7,0
54914,21,812,856,52,64,2,4,13,6,14,25,0
54914,21,812,856,52,64,2,4,13,6,14,25,0
52998,25,282,384,40,66,2,4,2503,1,3,8,0
52998,25,40,0,40,40,0,0,0,0,0,0,0
35872,22,4908,5358,52,218,1,4,450,13,25,46,0
35876,22,4908,5358,52,218,2,4,395,13,25,46,0
35876,22,4908,5358,52,218,2,4,395,13,25,46,0
40562,139,100,60,40,53,24,37,0,0,0,1,0
53962,445,216,164,52,54,7,9,19,0,0,6,0
45682,8180,763,9395,52,461,1,5,9,1,2,21,0
20,49289,665,164,52,103,5,9,16,1,1,7,0
54944,21,812,856,52,64,0,5,14,6,14,25,0
54944,21,812,856,52,64,0,5,14,6,14,25,0
35902,22,4908,5358,52,218,1,4,450,13,25,46,0
35902,22,4908,5358,52,218,1,4,450,13,25,46,0
53036,25,282,271,40,61,2,4,3336,1,2,7,0
25,53036,113,40,113,76,0,0,0,1,1,1,0
35908,22,4892,4318,52,195,1,3,450,13,25,46,0
35908,22,4892,4318,52,195,1,3,450,13,25,46,0
40594,139,100,60,40,53,21,33,0,0,0,1,0
53994,445,216,164,52,54,8,9,22,0,0,6,0
35914,22,4892,4318,52,195,1,5,413,13,25,46,0
35914,22,4892,4318,52,195,1,5,413,13,25,46,0
35798,80,446,1340,52,178,4,4,16,1,2,9,0
20,50511,665,164,52,103,5,10,16,1,1,7,0
54966,21,759,856,52,64,1,4,14,6,14,24,0
20,55281,665,164,52,103,5,10,16,1,1,7,0
54968,21,812,856,52,64,1,4,13,6,14,25,0
54968,21,812,856,52,64,1,4,13,6,14,25,0
35806,80,446,1340,52,178,4,4,12,1,2,9,0
35810,80,446,1340,52,178,4,4,13,1,2,9,0
40616,139,100,60,40,53,12,51,0,0,0,1,0
54016,445,216,164,52,54,5,7,27,0,0,6,0
40620,139,100,60,40,53,13,23,0,0,0,1,0
54020,445,216,164,52,54,6,6,15,0,0,6,0
53048,25,282,384,40,66,1,5,2504,1,3,8,0
53048,25,282,384,40,66,1,5,2504,1,3,8,0
53048,25,40,0,40,40,0,0,0,0,0,0,0
53052,25,282,384,40,66,1,4,2505,1,3,8,0
53052,25,282,384,40,66,1,4,2505,1,3,8,0
53052,25,40,0,40,40,0,0,0,0,0,0,0
53060,25,282,271,40,61,1,5,3338,1,2,7,0
25,53060,113,40,113,76,0,0,0,1,1,1,0
35942,22,4908,5358,52,218,3,5,449,13,25,46,0
35826,80,446,1340,52,178,5,5,14,1,2,9,0
53080,25,282,384,40,66,4,4,2503,1,3,8,0
53080,25,40,0,40,40,0,0,0,0,0,0,0
35950,22,4908,5358,52,218,3,4,449,13,25,46,0
20,56803,665,164,52,103,5,8,16,1,1,7,0
54998,21,812,856,52,64,1,4,15,6,14,25,0
54998,21,812,856,52,64,1,4,15,6,14,25,0
53084,25,282,384,40,66,3,4,2030,1,3,8,0
53084,25,282,384,40,66,3,4,2030,1,3,8,0
53084,25,40,0,40,40,0,0,0,0,0,0,0
35956,22,4908,5358,52,218,1,4,349,13,25,46,0
35956,22,4908,5358,52,218,1,4,349,13,25,46,0
53092,25,282,271,40,61,4,4,3335,1,2,7,0
25,53092,113,40,113,76,0,0,0,1,1,1,0
35962,22,4908,5358,52,218,3,3,448,13,25,46,0
35962,22,4908,5358,52,218,3,3,448,13,25,46,0
35964,22,4892,4318,52,195,2,4,454,13,25,46,0
35964,22,4892,4318,52,195,2,4,454,13,25,46,0
40650,139,100,60,40,53,11,21,0,0,0,1,0
54050,445,216,164,52,54,5,8,19,0,0,6,0
40654,139,100,60,40,53,17,23,0,0,0,1,0
54054,445,216,164,52,54,7,7,23,0,0,6,0
45764,8180,763,9395,52,461,2,4,10,1,2,21,0
35976,22,4892,4318,52,195,1,4,396,13,25,46,0
35976,22,4892,4318,52,195,1,4,396,13,25,46,0
53110,25,282,384,40,66,7,5,2503,1,3,8,0
53110,25,40,0,40,40,0,0,0,0,0,0,0
35980,22,4892,4318,52,195,0,5,450,13,25,46,0
35980,22,4892,4318,52,195,0,5,450,13,25,46,0
35862,80,446,1340,52,178,4,4,17,1,2,9,0
40668,139,100,60,40,53,16,26,0,0,0,1,0
54068,445,216,164,52,54,7,8,19,0,0,6,0
35988,22,4908,5358,52,218,1,4,451,13,25,46,0
35988,22,4908,5358,52,218,1,4,451,13,25,46,0
35870,80,446,1340,52,178,4,4,16,1,2,9,0
53126,25,282,384,40,66,2,5,2251,1,3,8,0
53126,25,282,384,40,66,2,5,2251,1,3,8,0
53126,25,40,0,40,40,0,0,0,0,0,0,0
35998,22,4908,5358,52,218,0,4,380,13,25,46,0
35998,22,4908,5358,52,218,0,4,380,13,25,46,0
20,60451,665,164,52,103,5,10,17,1,1,7,0
55044,21,759,856,52,64,1,4,14,6,14,24,0
53134,25,282,271,40,61,1,5,3334,1,2,7,0
25,53134,113,40,113,76,0,0,0,1,1,1,0
36004,22,4892,4318,52,195,1,4,451,13,25,46,0
36004,22,4892,4318,52,195,1,4,451,13,25,46,0
45798,8180,763,9395,52,461,1,4,9,1,2,21,0
36012,22,4892,4318,52,195,1,4,451,13,25,46,0
